['skoda', 'moskva', 61]
['skoda', 'sankt-peterburg', 19]
['skoda', 'novosibirsk', 4]
['skoda', 'ekaterinburg', 13]
['skoda', 'kazan', 12]
['skoda', 'nizhniy_novgorod', 6]
['skoda', 'chelyabinsk', 12]
['skoda', 'samara', 5]
['skoda', 'omsk', 2]
['skoda', 'rostov-na-donu', 11]
['skoda', 'ufa', 6]
['skoda', 'krasnoyarsk', 4]
['skoda', 'voronezh', 7]
['skoda', 'perm', 12]
['skoda', 'volgograd', 4]
['audi', 'moskva', 72]
['audi', 'sankt-peterburg', 20]
['audi', 'novosibirsk', 5]
['audi', 'ekaterinburg', 12]
['audi', 'kazan', 12]
['audi', 'nizhniy_novgorod', 8]
['audi', 'chelyabinsk', 11]
['audi', 'samara', 5]
['audi', 'omsk', 3]
['audi', 'rostov-na-donu', 16]
['audi', 'ufa', 4]
['audi', 'krasnoyarsk', 5]
['audi', 'voronezh', 10]
['audi', 'perm', 12]
['audi', 'volgograd', 3]
['honda', 'moskva', 26]
['honda', 'sankt-peterburg', 8]
['honda', 'novosibirsk', 15]
['honda', 'ekaterinburg', 9]
['honda', 'kazan', 6]
['honda', 'nizhniy_novgorod', 4]
['honda', 'chelyabinsk', 8]
['honda', 'samara', 3]
['honda', 'omsk', 4]
['honda', 'rostov-na-donu', 9]
['honda', 'ufa', 3]
['honda', 'krasnoyarsk', 18]
['honda', 'voronezh', 3]
['honda', 'perm', 7]
['honda', 'volgograd', 2]
['volvo', 'moskva', 34]
['volvo', 'sankt-peterburg', 10]
['volvo', 'novosibirsk', 2]
['volvo', 'ekaterinburg', 5]
['volvo', 'kazan', 4]
['volvo', 'nizhniy_novgorod', 2]
['volvo', 'chelyabinsk', 5]
['volvo', 'samara', 2]
['volvo', 'omsk', 2]
['volvo', 'rostov-na-donu', 4]
['volvo', 'ufa', 2]
['volvo', 'krasnoyarsk', 2]
['volvo', 'voronezh', 3]
['volvo', 'perm', 4]
['volvo', 'volgograd', 1]
['bmw', 'moskva', 123]
['bmw', 'sankt-peterburg', 35]
['bmw', 'novosibirsk', 8]
['bmw', 'ekaterinburg', 17]
['bmw', 'kazan', 17]
['bmw', 'nizhniy_novgorod', 8]
['bmw', 'chelyabinsk', 16]
['bmw', 'samara', 7]
['bmw', 'omsk', 4]
['bmw', 'rostov-na-donu', 26]
['bmw', 'ufa', 6]
['bmw', 'krasnoyarsk', 9]
['bmw', 'voronezh', 8]
['bmw', 'perm', 16]
['bmw', 'volgograd', 4]
['nissan', 'moskva', 87]
['nissan', 'sankt-peterburg', 24]
['nissan', 'novosibirsk', 27]
['nissan', 'ekaterinburg', 27]
['nissan', 'kazan', 22]
['nissan', 'nizhniy_novgorod', 12]
['nissan', 'chelyabinsk', 25]
['nissan', 'samara', 10]
['nissan', 'omsk', 10]
['nissan', 'rostov-na-donu', 28]
['nissan', 'ufa', 10]
['nissan', 'krasnoyarsk', 22]
['nissan', 'voronezh', 14]
['nissan', 'perm', 24]
['nissan', 'volgograd', 6]
['infiniti', 'moskva', 17]
['infiniti', 'sankt-peterburg', 4]
['infiniti', 'novosibirsk', 2]
['infiniti', 'ekaterinburg', 4]
